code,reference,barcode,buyprice,sellprice,name,category
s1,1000000000001,1000000000001,1,5,Item 1,stationery
s2,1000000000002,1000000000002,2,6,Item 2,stationery
s3,1000000000003,1000000000003,3,7,Item 3,stationery
s4,1000000000004,1000000000004,4,8,Item 4,stationery
s5,1000000000005,1000000000005,5,9,Item 5,stationery
s6,1000000000006,1000000000006,6,10,Item 6,stationery
s7,1000000000007,1000000000007,7,11,Item 7,stationery
s8,1000000000008,1000000000008,8,12,Item 8,stationery
s9,1000000000009,1000000000009,9,13,Item 9,stationery
s10,1000000000010,1000000000010,10,14,Item 10,stationery
s11,1000000000011,1000000000011,11,15,Item 11,stationery
s12,1000000000012,1000000000012,12,16,Item 12,stationery
s13,1000000000013,1000000000013,13,17,Item 13,stationery
s14,1000000000014,1000000000014,14,18,Item 14,stationery
s15,1000000000015,1000000000015,15,19,Item 15,stationery
s16,1000000000016,1000000000016,16,20,Item 16,stationery
s17,1000000000017,1000000000017,17,21,Item 17,stationery
s18,1000000000018,1000000000018,18,22,Item 18,stationery
s19,1000000000019,1000000000019,19,23,Item 19,stationery
s20,1000000000020,1000000000020,20,24,Item 20,stationery
s21,1000000000021,1000000000021,21,25,Item 21,stationery
s22,1000000000022,1000000000022,22,26,Item 22,stationery
s23,1000000000023,1000000000023,23,27,Item 23,stationery
